ID,CONTRATO,COD_CANONICO,DESCRICAO_ORIGINAL,NOMENCLATURA_ORIGINAL,FAMILIA,EVENTO,GRANULARIDADE,CRITICIDADE,RESPONSAVEL,COMPETENCIA_ARQUIVO,COMPETENCIA_CORRIGIDA,PRAZO_ORIGINAL,PRAZO_ANCORA,PRAZO_TIPO_DIA,PRAZO_LIMITE,REPOSITORIO,PASTA,PERIODICIDADE,PREVISAO_ARQUIVO,FUNDAMENTO (preencher),DIVERGENCIAS
L079,SEFAZ RS,FIS.CARTA_ENTREGA_NF,Carta de Entrega da Nota Fiscal,CARTA_NOTA_FISCAL,Fiscal,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD/JIRA,OPERAÇÃO,Mensalmente,Edital,,
L080,SEFAZ RS,OPE.DOC_TECNICA,Documentação técnica dos sistemas desenvolvidos,DOCUMENTAÇÃO_TÉCNICA_DOS_SISTEMAS_DESENVOLVIDOS,Operação e medição,Mensal,Contrato,Não bloqueante,OPERAÇÃO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,JIRA,,Mensalmente,Após o dia 10°,,
L081,SEFAZ RS,CER.CND_RFB,"Certidão de regularidade   fiscal   perante   a   Fazenda   Nacional,   expedida conjuntamente  pela  Secretaria  da  Receita  Federal  do  Brasil – RFB",CND_RFB,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L082,SEFAZ RS,CER.CND_ESTADUAL,Certidão Positiva de Débitos Com Efeito de Negativa - GDF,CND_GDF,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L083,SEFAZ RS,CER.CRF_FGTS,Certidão de Regularidade do FGTS - CRF,CRF_FGTS,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L084,SEFAZ RS,CER.CNDT,Certidão Negativa de Débitos Trabalhistas - CNDT,CNDT,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L085,SEFAZ RS,CER.CND_FALENCIA,Certidão Negativa De Distribuição Ações De Falências e Recuperações Judiciais,CND_FALENCIA_E_RECUP_JUD,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Solicitação do cliente,,
L086,SEFAZ RS,CER.CND_CIVEL_CRIMINAL,Certidão Negativa De Distribuição Especial Ações Cíveis e Criminais,CND_CIVEL_E_CRIMINAL,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Solicitação do cliente,,
L087,SEFAZ RS,CER.SICAF,Sistema De Cadastramento Unificado De Fornecedores - SICAF,SICAF,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Solicitação do cliente,,
L088,SESCOOP,FIS.NOTA_FISCAL,Nota Fiscal,NOTA_FISCAL,Fiscal,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD/JIRA,OPERAÇÃO,Mensalmente,Edital,,
L089,SESCOOP,FIS.CARTA_ENTREGA_NF,Carta de Entrega da Nota Fiscal,CARTA_NOTA_FISCAL,Fiscal,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD/JIRA,OPERAÇÃO,Mensalmente,Edital,,
L090,SESCOOP,OPE.RELATORIO_MEDICAO,Relatório de Atividades,RELATORIO_DE_ATIVIDADES,Operação e medição,Mensal,Contrato,Bloqueante,OPERAÇÃO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,JIRA,,Mensalmente,Até o 5° dia útil,,
L091,SESCOOP,OPE.ATESTE_RECEBIMENTO,Termo de Recebimento Definitivo,TRD,Operação e medição,Mensal,Contrato,Bloqueante,OPERAÇÃO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,JIRA,,Mensalmente,Até o 5° dia útil,,
L092,SESCOOP,RES.TRCT,Termo de Rescisão,TRCT,Rescisão,Rescisão,Profissional,Bloqueante,DP,Mês da Competência,Data do evento,ATÉ DIA 07,Início da competência,Corrido,7,CLOUD,RESCISÃO,Quando Necessário,Edital,,
L093,SESCOOP,RES.COMPROVANTE_PG,Comprovante de pagamento - Rescisão,COMPROVANTE_PG_RECSISÃO,Rescisão,Rescisão,Profissional,Bloqueante,FINANCEIRO,Mês da Competência,Data do evento,1º DIA ÚTIL,Início da competência,Útil,1,CLOUD,OPERAÇÃO,Quando Necessário,Edital,,PASTA incompatível com a família do documento
L094,SESCOOP,INS.DARF,DCTFWEB GUIAS INSS E IR,DCTFWEB_DARF,INSS e tributos,Mensal,Contrato,Bloqueante,DP,Mês da Competência,Competência anterior (M-1),ATÉ DIA 20,Início da competência,Corrido,20,CLOUD,INSS,Quando Necessário,Edital,,"COMPETÊNCIA divergente: consta ""Mês da Competência"", esperado ""Competência Anterior"""
L095,SESCOOP,FGT.GUIA,Guia FGTS,GFD_GUIA_DO_FGTS,FGTS,Mensal,Contrato,Bloqueante,DP,Competência Anterior,Competência anterior (M-1),ATÉ DIA 20,Início da competência,Corrido,20,CLOUD,FGTS,Quando Necessário,Edital,,
L096,SESCOOP,FGT.EXTRATO,Extrato FGTS,EXTRATO_FGTS,FGTS,Mensal,Profissional,Bloqueante,DP,Competência Anterior,Competência anterior (M-1),ATÉ DIA 25,Início da competência,Corrido,25,CLOUD,FGTS,Quando Necessário,Edital,,
L097,SESCOOP,RES.ASO_DEMISSIONAL,Exame Demissional,ASO_DEMISSIONAL,Rescisão,Rescisão,Profissional,Bloqueante,DP,Mês da Competência,Data do evento,ATÉ DIA 07,Início da competência,Corrido,7,CLOUD,RESCISÃO,Quando Necessário,Edital,,
L098,SESCOOP,FOL.FOPAG,FOLHA DE PAGAMENTO,FOPAG,Folha,Mensal,Contrato,Bloqueante,DP,Mês da Competência,Mês da competência,ATÉ O 5º DIA ÚTIL,Início da competência,Útil,5,CLOUD,FOLHA,Mensalmente,Edital,,
L099,SESCOOP,FOL.COMPROVANTE_PG,COMPROVANTE DE PAGAMENTO DA FOLHA,COMPROVANTE_PG_FOLHA,Folha,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Mês da competência,5º DIA UTIL,Início da competência,Útil,5,CLOUD,FOLHA,Mensalmente,Edital,,
L100,SESCOOP,FOL.CONTRACHEQUE,CONTRACHEQUES,CONTRACHEQUES,Folha,Mensal,Profissional,Bloqueante,DP,Mês da Competência,Mês da competência,ATÉ DIA 07,Início da competência,Corrido,7,CLOUD,FOLHA,Mensalmente,Edital,,
L101,SESCOOP,BEN.RELACAO_VA_VR,RELÁTORIO DE VALE ALIMENTAÇÃO,RELAÇÃO_DE_VA_VR,Benefícios,Mensal,Profissional,Bloqueante,DP,Mês da Competência,Mês da competência,ATÉ DIA 03,Início da competência,Corrido,3,CLOUD,ALIMENTAÇÃO,Mensalmente,Edital,,
L102,SESCOOP,BEN.COMPROVANTE_VA_VR,COMPROVANTE DE PAGAMENTO - VALE ALIMENTAÇÃO,COMPROVANTE_PG_ALIMENTAÇÃO,Benefícios,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Mês da competência,1º DIA ÚTIL,Início da competência,Útil,1,CLOUD,ALIMENTAÇÃO,Mensalmente,Edital,,
L103,SESCOOP,BEN.RELACAO_VT,RELÁTORIO DE VALE TRANSPORTE,RELAÇÃO_DE_VT,Benefícios,Mensal,Profissional,Bloqueante,DP,Mês da Competência,Mês da competência,ATÉ DIA 03,Início da competência,Corrido,3,CLOUD,TRANSPORTE,Mensalmente,Edital,,
L104,SESCOOP,BEN.COMPROVANTE_VT,COMPROVANTE DE PAGAMENTO - VALE TRANSPORTE,COMPROVANTE_PG_TRANSPORTE,Benefícios,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Mês da competência,1º DIA ÚTIL,Início da competência,Útil,1,CLOUD,TRANSPORTE,Mensalmente,Edital,,
L105,SESCOOP,BEN.RELACAO_PLANO_SAUDE,RELÁTORIO PLANO DE SAÚDE,RELAÇÃO_PLANO_DE_SAÚDE,Benefícios,Mensal,Profissional,Bloqueante,DP,Mês da Competência,Mês da competência,ATÉ DIA 03,Início da competência,Corrido,3,CLOUD,PLANO DE SAÚDE,Mensalmente,Edital,,
L106,SESCOOP,BEN.COMPROVANTE_PLANO_SAUDE,COMPROVANTE DE PAGAMENTO - PLANO DE SAÚDE,COMPROVANTE_PG_PLANO_DE_SAUDE,Benefícios,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Mês da competência,1º DIA ÚTIL,Início da competência,Útil,1,CLOUD,PLANO DE SAÚDE,Mensalmente,Edital,,
L107,SESCOOP,INS.DCTFWEB,DCTFWEB RELATÓRIO COMPLETO,DCTFWEB_COMPLETA,INSS e tributos,Mensal,Contrato,Bloqueante,DP,Competência Anterior,Competência anterior (M-1),ATÉ DIA 20,Início da competência,Corrido,20,CLOUD,INSS,Mensalmente,Edital,,
L108,SESCOOP,INS.COMPROVANTE_PG,COMPROVANTE DE PAGAMENTO - INSS,COMPROVANTE_PG_INSS,INSS e tributos,Mensal,Contrato,Bloqueante,FINANCEIRO,Competência Anterior,Competência anterior (M-1),ENTRE DIA 20 A 30,Início da competência,Corrido,30,CLOUD,INSS,Mensalmente,Edital,,
L109,SESCOOP,INS.COMPROVANTE_PG_IRRF,COMPROVANTE DE PAGAMENTO -  IRRF,COMPROVANTE_PG_IRRF,INSS e tributos,Mensal,Contrato,Bloqueante,FINANCEIRO,Competência Anterior,Competência anterior (M-1),ENTRE DIA 20 A 30,Início da competência,Corrido,30,CLOUD,INSS,Mensalmente,Edital,,
L110,SESCOOP,FGT.RELATORIO_DIGITAL,FGTS DIGITAL - RELATÓRIOS,GFD_GUIA_DO_FGTS,FGTS,Mensal,Profissional,Bloqueante,DP,Competência Anterior,Competência anterior (M-1),ATÉ DIA 20,Início da competência,Corrido,20,CLOUD,FGTS,Mensalmente,Edital,,COLISÃO: mesma nomenclatura usada para dois documentos distintos
L111,SESCOOP,FGT.COMPROVANTE_PG,COMPROVANTE DE PAGAMENTO - FGTS,COMPROVANTE_PG_FGTS,FGTS,Mensal,Contrato,Bloqueante,FINANCEIRO,Competência Anterior,Competência anterior (M-1),DIA 21,Início da competência,Corrido,21,CLOUD,FGTS,Mensalmente,Edital,,
L112,Telebrás,OPE.AUTORIZACAO_FATURAMENTO,E-mail de Autorização da Emissão da NF,E-MAIL_AUTORIZAÇÃO_EMISSÃO_NF,Operação e medição,Mensal,Contrato,Bloqueante,OPERAÇÃO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,JIRA,,Mensalmente,Até último dia útil,,
L113,Telebrás,OPE.PLANILHA_MEDICAO,Planilha de Faturamento,PLANILHA_DE_FATURAMENTO,Operação e medição,Mensal,Contrato,Bloqueante,OPERAÇÃO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,JIRA,,Mensalmente,Até último dia útil,,
L114,Telebrás,FIS.NOTA_FISCAL,Nota Fiscal,NOTA_FISCAL,Fiscal,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD/JIRA,OPERAÇÃO,Mensalmente,Edital,,
L115,Telebrás,FIS.CARTA_ENTREGA_NF,Carta de Entrega da Nota Fiscal,CARTA_NOTA_FISCAL,Fiscal,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD/JIRA,OPERAÇÃO,Mensalmente,Edital,,
L116,Telebrás,FIS.NF_XML,,XML,Fiscal,Mensal,Contrato,Bloqueante,FINANCEIRO,,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD/JIRA,OPERAÇÃO,,,,LINHA ÓRFÃ: sem contrato de origem | COMPETÊNCIA em branco | PERIODICIDADE em branco | PREVISÃO/fundamento em branco | DESCRIÇÃO do documento em branco
L117,Telebrás,CER.CND_RFB,"Regularidade   fiscal   perante   a   Fazenda   Nacional,   expedida conjuntamente  pela  Secretaria  da  Receita  Federal  do  Brasil – RFB",CND_RFB,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L118,Telebrás,CER.CND_ESTADUAL,Certidão Positiva de Débitos Com Efeito de Negativa - GDF,CND_GDF,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L119,Telebrás,CER.CRF_FGTS,Certidão de Regularidade do FGTS - CRF,CRF_FGTS,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L120,Telebrás,CER.CNDT,Certidão Negativa de Débitos Trabalhistas - CNDT,CNDT,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L121,Telebrás,CER.CND_FALENCIA,Certidão Negativa De Distribuição Ações De Falências e Recuperações Judiciais,CND_FALENCIA_E_RECUP_JUD,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L122,Telebrás,CER.CND_CIVEL_CRIMINAL,Certidão Negativa De Distribuição Especial Ações Cíveis e Criminais,CND_CIVEL_E_CRIMINAL,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L123,Telebrás,CER.SICAF,Sistema De Cadastramento Unificado De Fornecedores - SICAF,SICAF,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L124,TERRACAP,OPE.AUTORIZACAO_FATURAMENTO,E-mail de Autorização da Emissão da NF,E-MAIL_AUTORIZAÇÃO_EMISSÃO_NF,Operação e medição,Mensal,Contrato,Bloqueante,OPERAÇÃO,Mês da Competência,Mês da competência,Até o 9º dia útil,Início da competência,Útil,9,JIRA,,Mensalmente,Até último dia útil,,
L125,TERRACAP,OPE.PLANILHA_MEDICAO,Planilha de Faturamento,PLANILHA_DE_FATURAMENTO,Operação e medição,Mensal,Contrato,Bloqueante,OPERAÇÃO,Mês da Competência,Mês da competência,Até o 9º dia útil,Início da competência,Útil,9,JIRA,,Mensalmente,Até último dia útil,,
L126,TERRACAP,OPE.RELATORIO_MEDICAO,RTA - Relatório Técnico De Atividades Faturamento,RTA_RELATORIO_TECNICO_ATIVIDADES_DE_FATURAMENTO,Operação e medição,Mensal,Contrato,Bloqueante,OPERAÇÃO,Mês da Competência,Mês da competência,Até o 9º dia útil,Início da competência,Útil,9,JIRA,,Mensalmente,Até último dia útil,,
L127,TERRACAP,FIS.NOTA_FISCAL,Nota Fiscal,NOTA _FISCAL,Fiscal,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD/JIRA,OPERAÇÃO,Mensalmente,Edital,,NOMENCLATURA com espaço/caractere irregular
L128,TERRACAP,FIS.CARTA_ENTREGA_NF,Carta de Entrega da Nota Fiscal,CARTA_NOTA_FISCAL,Fiscal,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD/JIRA,OPERAÇÃO,Mensalmente,Edital,,
L129,TERRACAP,CER.CND_RFB,"Regularidade   fiscal   perante   a   Fazenda   Nacional,   expedida conjuntamente  pela  Secretaria  da  Receita  Federal  do  Brasil – RFB",CND_RFB,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L130,TERRACAP,CER.CRF_FGTS,Certidão de Regularidade do FGTS - CRF,CRF_FGTS,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L131,TERRACAP,CER.CND_ESTADUAL,Certidão Positiva de Débitos Com Efeito de Negativa - GDF,CND_GDF,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L132,TERRACAP,CER.CNDT,Certidão Negativa de Débitos Trabalhistas - CNDT,CNDT,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L133,TERRACAP,CER.SICAF,Sistema De Cadastramento Unificado De Fornecedores - SICAF,SICAF,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Solicitação do cliente,,
L134,TERRACAP,CER.CND_FALENCIA,Certidão Negativa De Distribuição Ações De Falências e Recuperações Judiciais,CND FALENCIA E RECUP JUD,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Solicitação do cliente,,NOMENCLATURA com espaço/caractere irregular
L135,TERRACAP,CER.CND_CIVEL_CRIMINAL,Certidão Negativa De Distribuição Especial Ações Cíveis e Criminais,CND_CIVEL_E_CRIMINAL,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Solicitação do cliente,,
L136,TJ CE,OPE.AUTORIZACAO_FATURAMENTO,E-mail Autorização  Emissão NF,E-MAIL_AUTORIZACAO_EMISSAO_NF,Operação e medição,Mensal,Contrato,Bloqueante,OPERAÇÃO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,JIRA,,Mensalmente,Até último dia útil,,
L137,TJ CE,OPE.PLANILHA_MEDICAO,Planilha de Faturamento,PLANILHA_DE_FATURAMENTO,Operação e medição,Mensal,Contrato,Bloqueante,OPERAÇÃO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,JIRA,,Mensalmente,Até último dia útil,,
L138,TJ CE,OPE.RELATORIO_MEDICAO,RTA - Relatório Técnico De Atividades Faturamento,RTA_RELATORIO_TECNICO_ATIVIDADES_DE_FATURAMENTO,Operação e medição,Mensal,Contrato,Bloqueante,OPERAÇÃO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,JIRA,,Mensalmente,Até último dia útil,,
L139,TJ CE,FIS.NOTA_FISCAL,Nota Fiscal,NOTA _FISCAL,Fiscal,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD/JIRA,OPERAÇÃO,Mensalmente,Edital,,NOMENCLATURA com espaço/caractere irregular
L140,TJ CE,FIS.CARTA_ENTREGA_NF,Carta de Entrega da Nota Fiscal,CARTA_NOTA_FISCAL,Fiscal,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Mês da competência,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD/JIRA,OPERAÇÃO,Mensalmente,Edital,,
L141,TJ CE,INS.DARF,DARF - DCTFWEB,DCTFWEB_DARF,INSS e tributos,Mensal,Contrato,Bloqueante,DP,Competência Anterior,Competência anterior (M-1),ATÉ DIA 20,Início da competência,Corrido,20,CLOUD,INSS,Mensalmente,Edital,,DUPLICIDADE no mesmo contrato/evento
L142,TJ CE,FGT.GUIA,Guia FGTS,GFD_GUIA_DO_FGTS,FGTS,Mensal,Contrato,Bloqueante,DP,Competência Anterior,Competência anterior (M-1),ATÉ DIA 20,Início da competência,Corrido,20,CLOUD,FGTS,Mensalmente,Edital,,DUPLICIDADE no mesmo contrato/evento
L143,TJ CE,FGT.COMPROVANTE_PG,Comprovante de Guia FGTS,COMPROVANTE_PG_FGTS,FGTS,Mensal,Contrato,Bloqueante,FINANCEIRO,Competência Anterior,Competência anterior (M-1),DIA 21,Início da competência,Corrido,21,CLOUD,FGTS,Mensalmente,Edital,,DUPLICIDADE no mesmo contrato/evento
L144,TJ CE,FOL.FOPAG,Folha De Pagamento,FOPAG,Folha,Mensal,Contrato,Bloqueante,DP,Mês da Competência,Mês da competência,ATÉ O 5º DIA ÚTIL,Início da competência,Útil,5,CLOUD,FOLHA,Mensalmente,Edital,,
L145,TJ CE,FOL.COMPROVANTE_PG,Comprovante de Folha de Pagamento,COMPROVANTE_PG_FOLHA,Folha,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Mês da competência,5º DIA UTIL,Início da competência,Útil,5,CLOUD,FOLHA,Mensalmente,Edital,,
L146,TJ CE,FOL.CONTRACHEQUE,Contra Cheque,CONTRACHEQUES,Folha,Mensal,Profissional,Bloqueante,DP,Mês da Competência,Mês da competência,ATÉ DIA 07,Início da competência,Corrido,7,CLOUD,FOLHA,Mensalmente,Edital,,
L147,TJ CE,BEN.RELACAO_VA_VR,Vale Alimentação,RELACAO_DE_VA_VR,Benefícios,Mensal,Profissional,Bloqueante,DP,Mês da Competência,Mês da competência,ATÉ DIA 03,Início da competência,Corrido,3,CLOUD,ALIMENTAÇÃO,Mensalmente,Edital,,
L148,TJ CE,BEN.RELACAO_PLANO_SAUDE,Plano De Saúde,RELACAO_PLANO_DE_SAÚDE,Benefícios,Mensal,Profissional,Bloqueante,DP,Mês da Competência,Mês da competência,ATÉ DIA 03,Início da competência,Corrido,3,CLOUD,PLANO DE SAÚDE,Mensalmente,Edital,,
L149,TJ CE,RES.TRCT,Termo de Rescisão,TRCT,Rescisão,Rescisão,Profissional,Bloqueante,DP,Mês da Competência,Data do evento,ATÉ DIA 07,Início da competência,Corrido,7,CLOUD,RESCISÃO,Mensalmente,Edital,,
L150,TJ CE,RES.COMPROVANTE_PG,Rescisão - Comprovante de pagamento,COMPROVANTE_PG_RECSISÃO,Rescisão,Rescisão,Profissional,Bloqueante,FINANCEIRO,Mês da Competência,Data do evento,1º DIA ÚTIL,Início da competência,Útil,1,CLOUD,OPERAÇÃO,Mensalmente,Edital,,DUPLICIDADE no mesmo contrato/evento | PASTA incompatível com a família do documento
L151,TJ CE,FER.RECIBO,Férias,RECIBO_DE_FERIAS,Férias,Férias,Profissional,Bloqueante,DP,Mês da Competência,Data do evento,ATÉ DIA 07,Início da competência,Corrido,7,CLOUD,FÉRIAS,Mensalmente,Edital,,DUPLICIDADE no mesmo contrato/evento
L152,TJ CE,FER.COMPROVANTE_PG,Férias - Comprovante de pagamento,COMPROVANTE_PG_FERIAS,Férias,Férias,Profissional,Bloqueante,FINANCEIRO,Mês da Competência,Data do evento,1º DIA ÚTIL,Início da competência,Útil,1,CLOUD,FÉRIAS,Mensalmente,Edital,,DUPLICIDADE no mesmo contrato/evento
L153,TJ CE,ADM.DOCUMENTACAO,Admissão,DOC_ADMISSAO,Admissão,Admissão,Profissional,Bloqueante,DP,Mês da Competência,Data do evento,ATÉ DIA 07,Início da competência,Corrido,7,CLOUD,ADMISSÃO,Mensalmente,Edital,,
L154,TJ CE,OPE.MOVIMENTACAO_PESSOAL,Movimentação De Pessoal,MOVIMENTACAO_DE_PESSOAL,Operação e medição,Eventual,Contrato,Não bloqueante,DP,Mês da Competência,Mês da competência,ATÉ DIA 07,Início da competência,Corrido,7,CLOUD,MOVIMENTAÇÃO,Mensalmente,Edital,,
L155,TJ CE,CER.CND_RFB,"Regularidade   fiscal   perante   a   Fazenda   Nacional,   expedida conjuntamente  pela  Secretaria  da  Receita  Federal  do  Brasil – RFB",CND_RFB,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L156,TJ CE,CER.CRF_FGTS,Certidão de Regularidade do FGTS - CRF,CRF_FGTS,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L157,TJ CE,CER.CND_ESTADUAL,Certidão Positiva de Débitos Com Efeito de Negativa - GDF,CND_GDF,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L158,TJ CE,CER.CNDT,Certidão Negativa de Débitos Trabalhistas - CNDT,CNDT,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
L159,TJ CE,CER.SICAF,Sistema De Cadastramento Unificado De Fornecedores - SICAF,SICAF,Certidões e regularidade,Mensal,Contrato,Bloqueante,FINANCEIRO,Mês da Competência,Válida na data do faturamento,SOB FATURAMENTO,Ateste do cliente,Corrido,0,CLOUD,CERTIDÕES,Mensalmente,Edital,,
